"GID_1","middle","poorer","poorest","richer","richest","has_mobile_phone_no","has_mobile_phone_yes","primary_or_no","secondary_or_higher","rural","urban","(0,15]","(15,20]","(20,25]","(25,30]","(30,35]","(35,40]","(40,45]","(45,50]","(50,inf]","female","male","rh_anc_pv","rh_anc_pvskill","rh_anc_numvs","rh_anc_4vs","rh_anc_moprg","nt_bf_ever","nt_bf_start_1hr","nt_bf_start_1day","nt_bf_prelac","nt_bottle","ch_allvac_either","ch_novac_either","fp_know_any","fp_know_mod","fp_know_trad","fp_message_noneof4","fp_message_noneof3","dv_sex_12m","dv_phy_12m","rh_prob_permit","rh_prob_money","rh_prob_dist","rh_prob_alone","rh_prob_minone","hk_sex_2plus","hk_sex_notprtnr","hk_cond_2plus","hk_cond_notprtnr","hk_sexprtnr_num","hk_ever_heard","hk_knw_risk_cond","hk_knw_risk_sex","hk_knw_risk_condsex","hk_knw_hiv_hlth","hk_knw_hiv_mosq","hk_knw_hiv_supernat","hk_knw_hiv_food","hk_knw_hiv_hlth_2miscp","hk_knw_comphsv","hk_knw_mtct_preg","hk_knw_mtct_deliv","hk_knw_mtct_brfeed","hk_knw_mtct_all3","hk_knw_mtct_meds","hk_atd_shop_notbuy","we_decide_all","we_decide_none","we_dvjustify_burn","we_dvjustify_argue","we_dvjustify_goout","we_dvjustify_neglect","we_dvjustify_refusesex","we_dvjustify_onereas","we_justify_refusesex","we_justify_cond","we_num_justifydv","fg_relig","fg_cont"
"AGO1",0.256107171000788,0.351063829787234,0.112293144208038,0.168242710795902,0.112293144208038,0.345547675334909,0.654452324665091,0.177698975571316,0.066193853427896,0.628447596532703,0.371552403467297,0.46414499605989,0.103624901497242,0.0764381402679275,0.0681639085894405,0.057919621749409,0.0433412135539795,0.0319148936170213,0.0197005516154452,0.134751773049645,0.509062253743105,0.490937746256895,0.791208791208791,0.688644688644689,0.981395348837209,0.67032967032967,0.429906542056075,0.871508379888268,0.368715083798883,0.82122905027933,0.0446927374301676,0.103260869565217,0.224719101123595,0.314606741573034,0.915760869565217,0.915760869565217,0.470108695652174,0.722826086956522,0.724184782608696,0.0384615384615385,0.146853146853147,0.457142857142857,0.589795918367347,0.553061224489796,0.375510204081633,0.614285714285714,0.0883152173913044,0.323369565217391,0.307692307692308,0.289915966386555,4.23647604327666,0.827445652173913,0.577445652173913,0.646739130434783,0.494565217391304,0.585597826086957,0.597826086956522,0,0.46875,0.138586956521739,0.110054347826087,0.558423913043478,0.551630434782609,0.567934782608696,0.478260869565217,0.476902173913043,0.431855500821018,0.69727047146402,0.0794044665012407,0.0434782608695652,0.10054347826087,0.0652173913043478,0.0801630434782609,0.0557065217391304,0.173913043478261,0.317934782608696,0.315217391304348,0.166253101736973,NA,NA
"AGO10",0.138745221497639,0.135597031706769,0.505959073532719,0.127276815830897,0.0924218574319766,0.459635709467056,0.540364290532944,0.217449966269395,0.0766809084776254,0.641780975938835,0.358219024061165,0.534967393748595,0.098943107713065,0.0742073307847987,0.0577917697324039,0.0373285360917472,0.037778277490443,0.0301326737126152,0.0240611648302226,0.10478974589611,0.527321789970767,0.472678210029233,0.668488160291439,0.644808743169399,0.953168044077135,0.495446265938069,0.46978021978022,0.978891820580475,0.649076517150396,0.936675461741425,0.0448548812664908,0.203753351206434,0.254545454545455,0.296969696969697,0.851575456053068,0.813432835820896,0.532338308457711,0.758706467661692,0.761194029850746,0.0564024390243902,0.266768292682927,0.297921478060046,0.688221709006928,0.549653579676674,0.39838337182448,0.766743648960739,0.0812603648424544,0.292703150912106,0.173469387755102,0.206798866855524,3.15014164305949,0.776948590381426,0.582918739635158,0.625207296849088,0.541459369817579,0.51077943615257,0.450248756218905,0,0.44195688225539,0.160862354892206,0.144278606965174,0.513266998341625,0.54228855721393,0.580431177446103,0.448590381426202,0.466003316749585,0.387406616862327,0.667168674698795,0.0903614457831325,0.218905472636816,0.30514096185738,0.252072968490879,0.260364842454395,0.241293532338308,0.416252072968491,0.538971807628524,0.54726368159204,0.442771084337349,NA,NA
"AGO11",0.172815533980583,0.00722761596548004,0,0.363214670981661,0.456742179072276,0.0558791801510248,0.944120819848975,0.205070118662352,0.138942826321467,0.0374325782092772,0.962567421790723,0.459115426105717,0.109816612729234,0.0864077669902913,0.0802588996763754,0.0623516720604099,0.0509169363538296,0.0429341963322546,0.0271844660194175,0.0810140237324703,0.521574973031284,0.478425026968716,0.961579509071505,0.656350053361793,0.988839285714286,0.818569903948773,0.393333333333333,0.964749536178108,0.536178107606679,0.877551020408163,0.109461966604824,0.209944751381215,0.497975708502024,0.0728744939271255,0.97808619430241,0.977355734112491,0.656683710737765,0.491599707815924,0.497808619430241,0.0513029315960912,0.206026058631922,0.212261720762494,0.639361154044307,0.505924781040701,0.284389489953632,0.698608964451314,0.0580715850986121,0.299853907962016,0.383647798742138,0.479902557856273,7.3170947741364,0.966764061358656,0.856829802775749,0.900657414170928,0.814828341855369,0.85317750182615,0.775748721694668,0,0.747626004382761,0.414170927684441,0.376552227903579,0.843316289262235,0.805697589481373,0.821767713659606,0.72863403944485,0.818115412710007,0.194559879108425,0.726027397260274,0.0692541856925419,0.0244704163623083,0.0460189919649379,0.0540540540540541,0.0613586559532505,0.0310445580715851,0.0997078159240321,0.64609203798393,0.786340394448503,0.0996955859969559,NA,NA
"AGO12",0.266782695176529,0.351317752362009,0.24639482844356,0.0701143709597215,0.06539035305818,0.455494778717056,0.544505221282944,0.168075584286425,0.0350571854798608,0.392839383391348,0.607160616608652,0.525857782197911,0.0668821481849826,0.0651417205370462,0.0571854798607658,0.0482347090999503,0.043262058677275,0.0350571854798608,0.0278468423669816,0.130532073595226,0.522625559423173,0.477374440576827,0.698602794411178,0.648702594810379,0.895953757225434,0.393213572854291,0.552023121387283,0.928977272727273,0.292613636363636,0.821022727272727,0.298295454545455,0.227397260273973,0.181818181818182,0.301136363636364,0.776290630975143,0.769598470363289,0.407265774378585,0.801147227533461,0.805927342256214,0.0930232558139535,0.304114490161002,0.347184986595174,0.680965147453083,0.565683646112601,0.300268096514745,0.735924932975871,0.0688336520076482,0.24282982791587,0.25,0.271653543307087,5.48715203426124,0.84321223709369,0.596558317399618,0.70076481835564,0.536328871892925,0.542065009560229,0.57074569789675,0,0.567877629063097,0.229445506692161,0.160611854684512,0.584130019120459,0.565009560229445,0.627151051625239,0.463671128107075,0.507648183556405,0.321995464852608,0.650771388499299,0.100981767180926,0.152963671128107,0.216061185468451,0.270554493307839,0.239005736137667,0.174952198852772,0.387189292543021,0.507648183556405,0.611854684512428,0.4109396914446,NA,NA
"AGO13",0.350093607916555,0.32281358652046,0.0973522332174378,0.153249531960417,0.0764910403851297,0.355710082909869,0.644289917090131,0.220647231880182,0.0802353570473389,0.184273870018722,0.815726129981278,0.538646696977802,0.0906659534634929,0.072211821342605,0.0529553356512436,0.0454667023268254,0.0374431666220915,0.0320941428189355,0.0213960952126237,0.109120085584381,0.527681198181332,0.472318801818668,0.911242603550296,0.893491124260355,0.968468468468468,0.613412228796844,0.657894736842105,0.959183673469388,0.201166180758017,0.807580174927114,0.227405247813411,0.123595505617978,0.217948717948718,0.0833333333333333,0.766233766233766,0.764235764235764,0.221778221778222,0.753246753246753,0.755244755244755,0.050761421319797,0.194585448392555,0.077445652173913,0.35054347826087,0.188858695652174,0.0747282608695652,0.398097826086957,0.036963036963037,0.281718281718282,0.135135135135135,0.212765957446809,4.32867132867133,0.802197802197802,0.62037962037962,0.692307692307692,0.57942057942058,0.56043956043956,0.442557442557443,0,0.415584415584416,0.122877122877123,0.0919080919080919,0.59040959040959,0.555444555444555,0.611388611388611,0.509490509490509,0.54045954045954,0.338729763387298,0.629449838187702,0.0469255663430421,0.040959040959041,0.0919080919080919,0.214785214785215,0.156843156843157,0.0529470529470529,0.308691308691309,0.626373626373626,0.625374625374625,0.331715210355987,NA,NA
"AGO14",0.285207100591716,0.325207100591716,0.168757396449704,0.145562130177515,0.0752662721893491,0.445443786982249,0.554556213017751,0.211834319526627,0.0672189349112426,0.493727810650888,0.506272189349112,0.539881656804734,0.0726627218934911,0.0731360946745562,0.0608284023668639,0.0392899408284024,0.0302958579881657,0.0262721893491124,0.0158579881656805,0.141775147928994,0.511715976331361,0.488284023668639,0.791666666666667,0.7375,0.956043956043956,0.502083333333333,0.674603174603175,0.935779816513762,0.397553516819572,0.840978593272171,0.0825688073394495,0.0703363914373089,0.356687898089172,0.140127388535032,0.748171368861024,0.747126436781609,0.345872518286311,0.732497387669801,0.735632183908046,0.143129770992366,0.438931297709924,0.423850574712644,0.673850574712644,0.504310344827586,0.395114942528736,0.767241379310345,0.0794148380355277,0.271682340647858,0.276315789473684,0.392307692307692,5.40801886792453,0.825496342737722,0.575757575757576,0.628004179728318,0.51619644723093,0.557993730407524,0.448275862068966,0,0.552769070010449,0.167189132706374,0.125391849529781,0.600835945663532,0.556948798328109,0.565308254963427,0.466039707419018,0.446185997910136,0.415189873417722,0.518151815181518,0.117161716171617,0.187042842215256,0.219435736677116,0.19435736677116,0.256008359456635,0.163009404388715,0.401253918495298,0.462904911180773,0.585161964472309,0.435643564356436,NA,NA
"AGO15",0.173539009196084,0.450904776030851,0.233165232868585,0.084247997626817,0.0581429842776624,0.608424799762682,0.391575200237318,0.164342924948087,0.0501334915455355,0.491842183328389,0.508157816671611,0.517947196677544,0.0711954909522397,0.0643725897359834,0.0572530406407594,0.0397508157816672,0.0296647878967665,0.0246217739543162,0.0175022248590923,0.177692079501632,0.514980717887867,0.485019282112133,0.55,0.535294117647059,0.961748633879781,0.358823529411765,0.53804347826087,0.896551724137931,0.556034482758621,0.827586206896552,0.185344827586207,0.226337448559671,0.1,0.453846153846154,0.678331090174966,0.639300134589502,0.390309555854643,0.81157469717362,0.814266487213997,0.0941828254847645,0.246537396121884,0.341603053435114,0.498091603053435,0.387404580152672,0.307251908396947,0.541984732824427,0.0646029609690444,0.242261103633917,0.145833333333333,0.211111111111111,4.98473282442748,0.746971736204576,0.550471063257066,0.585464333781965,0.510094212651413,0.545087483176312,0.508748317631225,0,0.531628532974428,0.219380888290713,0.19650067294751,0.516823687752355,0.551816958277254,0.5814266487214,0.471063257065949,0.574697173620458,0.167567567567568,0.468468468468468,0.263513513513513,0.106325706594886,0.115746971736205,0.106325706594886,0.123822341857335,0.123822341857335,0.231493943472409,0.527590847913863,0.585464333781965,0.231981981981982,NA,NA
"AGO16",0.228858098423316,0.124701385570951,0.229335881509795,0.222169135212613,0.194935499283325,0.311992355470616,0.688007644529384,0.207596751075012,0.115384615384615,0.337553750597229,0.662446249402771,0.514572384137602,0.0898232202580029,0.0917343526039178,0.0728619206880076,0.0537505972288581,0.0324892498805542,0.0298614429049212,0.0179168657429527,0.096989966555184,0.528666985188724,0.471333014811276,0.769383697813121,0.765407554671968,0.961038961038961,0.652087475149105,0.467362924281984,0.967647058823529,0.344117647058824,0.797058823529412,0.0235294117647059,0.105571847507331,0.306122448979592,0.319727891156463,0.912013536379019,0.893401015228426,0.62098138747885,0.596446700507614,0.598138747884941,0.0734557595993322,0.230383973288815,0.164677804295943,0.68854415274463,0.315035799522673,0.221957040572792,0.741050119331742,0.0939086294416244,0.392554991539763,0.333333333333333,0.362068965517241,3.96377502383222,0.841793570219966,0.688663282571912,0.682741116751269,0.604060913705584,0.631133671742809,0.517766497461929,0,0.630287648054145,0.247038917089679,0.202199661590525,0.627749576988156,0.587140439932318,0.609983079526227,0.490693739424704,0.510152284263959,0.303517587939699,0.583969465648855,0.118320610687023,0.109983079526227,0.220812182741117,0.16243654822335,0.217428087986464,0.0972927241962775,0.322335025380711,0.452622673434856,0.578680203045685,0.33969465648855,NA,NA
"AGO17",0.19672131147541,0.426229508196721,0.28625472887768,0.0622950819672131,0.028499369482976,0.578058007566204,0.421941992433796,0.196469104665826,0.0668348045397226,0.648675914249685,0.351324085750315,0.522068095838588,0.0877679697351828,0.064312736443884,0.049936948297604,0.041109709962169,0.0388398486759143,0.0398486759142497,0.0282471626733922,0.127868852459016,0.510970996216898,0.489029003783102,0.599585062240664,0.572614107883817,0.944250871080139,0.377593360995851,0.599303135888502,0.819354838709677,0.345161290322581,0.67741935483871,0.170967741935484,0.0741935483870968,0.131578947368421,0.276315789473684,0.748299319727891,0.738581146744412,0.446064139941691,0.727891156462585,0.735665694849368,0.0353356890459364,0.139575971731449,0.622615803814714,0.779291553133515,0.705722070844687,0.600817438692098,0.817438692098093,0.0884353741496599,0.246841593780369,0.208791208791209,0.244094488188976,3.02422907488987,0.732750242954325,0.552964042759961,0.626822157434402,0.498542274052478,0.47910592808552,0.366375121477162,0,0.488824101068999,0.103984450923226,0.0845481049562682,0.494655004859086,0.411078717201166,0.422740524781341,0.314868804664723,0.342079689018465,0.563660477453581,0.76036866359447,0.0399385560675883,0.141885325558795,0.171039844509232,0.192419825072886,0.247813411078717,0.107871720116618,0.352769679300292,0.317784256559767,0.356656948493683,0.337941628264209,NA,NA
"AGO18",0.442287784679089,0.268374741200828,0.0859213250517598,0.129140786749482,0.0742753623188406,0.283643892339545,0.716356107660455,0.183229813664596,0.0882505175983437,0.27536231884058,0.72463768115942,0.486801242236025,0.0864389233954451,0.0701345755693582,0.0719461697722567,0.0579710144927536,0.0527950310559006,0.0388198757763975,0.0300207039337474,0.105072463768116,0.51268115942029,0.48731884057971,0.966067864271457,0.922155688622755,0.977225672877847,0.782435129740519,0.643153526970954,0.983922829581994,0.491961414790997,0.813504823151125,0.0610932475884244,0.0373831775700935,0.418181818181818,0.109090909090909,0.911971830985915,0.908450704225352,0.698943661971831,0.678697183098592,0.680457746478873,0.033167495854063,0.172470978441128,0.110266159695817,0.158428390367554,0.17617237008872,0.102661596958175,0.220532319391635,0.122359154929577,0.295774647887324,0.302158273381295,0.410714285714286,4.7377990430622,0.957746478873239,0.682218309859155,0.794014084507042,0.630281690140845,0.788732394366197,0.569542253521127,0,0.627640845070423,0.212147887323944,0.170774647887324,0.682218309859155,0.683978873239437,0.695422535211268,0.572183098591549,0.587147887323944,0.564338235294118,0.613050075872534,0.0546282245827011,0.0501760563380282,0.139084507042254,0.115316901408451,0.131161971830986,0.0669014084507042,0.214788732394366,0.415492957746479,0.621478873239437,0.192716236722307,NA,NA
